league,season,team,player,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
ITA-Serie A,2024-25,Udinese,Daniele Padelli,ITA,GK,38,1985,1.0,0,0,0,0,0,0.8,0.26,0.8,0.77,3,7,42.9,18,2,33.3,30.5,2,50.0,32.0,11,1,9.1,0,0.0,15.0
ITA-Serie A,2024-25,Udinese,Maduka Okoye,NGA,GK,24,1999,25.0,40,4,2,4,3,37.0,0.32,0.0,0.0,120,292,41.1,776,80,29.9,30.2,99,60.6,47.3,315,14,4.4,23,0.92,14.1
ITA-Serie A,2024-25,Udinese,Razvan Sava,ROU,GK,22,2002,12.0,16,3,1,4,2,14.5,0.24,0.5,0.04,44,148,29.7,337,26,33.2,32.2,55,65.5,47.5,202,4,2.0,13,1.08,14.8
ITA-Serie A,2024-25,Venezia,Filip Stankovic,SRB,GK,22,2002,15.2,23,4,0,3,1,25.2,0.26,3.2,0.21,48,161,29.8,439,51,29.4,31.6,73,43.8,34.3,249,12,4.8,13,0.86,10.8
ITA-Serie A,2024-25,Venezia,Ionuț Radu,ROU,GK,27,1997,15.0,18,3,0,2,0,19.2,0.26,1.2,0.08,67,275,24.4,470,61,47.7,40.2,73,69.9,55.3,215,13,6.0,3,0.2,9.1
ITA-Serie A,2024-25,Venezia,Jesse Joronen,FIN,GK,31,1993,7.8,15,3,0,3,2,12.6,0.26,-0.4,-0.05,20,84,23.8,260,46,28.1,31.0,41,26.8,34.9,125,6,4.8,5,0.64,9.4
NED-Eredivisie,2024-25,AZ Alkmaar,Jeroen Zoet,NED,GK,33,1991,6.0,3,0,0,0,1,1.5,0.13,-0.5,-0.08,37,117,31.6,180,12,50.6,39.0,45,57.8,47.0,65,4,6.2,4,0.67,12.9
NED-Eredivisie,2024-25,AZ Alkmaar,Rome-Jayden Owusu-Oduro,NED,GK,20,2004,28.0,34,1,0,3,1,28.9,0.32,-4.1,-0.15,120,358,33.5,716,87,40.5,36.7,118,57.6,48.9,317,26,8.2,14,0.5,13.5
NED-Eredivisie,2024-25,Ajax,Diant Ramaj,GER,GK,22,2001,1.0,0,0,0,0,0,0.2,0.11,0.2,0.22,1,10,10.0,47,3,21.3,28.2,5,0.0,21.4,5,0,0.0,1,1.0,16.0
NED-Eredivisie,2024-25,Ajax,Matheus,BRA,GK,32,1992,9.0,9,0,0,1,0,7.4,0.32,-1.6,-0.17,38,110,34.5,345,54,25.5,29.2,51,43.1,36.6,105,17,16.2,10,1.11,13.4
NED-Eredivisie,2024-25,Ajax,Remko Pasveer,NED,GK,40,1983,24.0,23,0,0,2,1,27.3,0.32,5.3,0.22,148,327,45.3,943,109,31.1,30.1,107,31.8,33.3,277,25,9.0,27,1.13,13.6
NED-Eredivisie,2024-25,Almere City,Jonas Wendlinger,AUT,GK,24,2000,0.1,0,0,0,0,0,0.0,,0.0,0.0,1,5,20.0,4,0,100.0,58.3,1,100.0,75.0,1,1,100.0,0,0.0,7.0
NED-Eredivisie,2024-25,Almere City,Nordin Bakker,NED,GK,26,1997,33.9,64,0,0,7,4,55.0,0.31,-5.0,-0.15,257,838,30.7,998,128,62.1,45.3,252,86.5,62.0,545,44,8.1,67,1.98,14.1
NED-Eredivisie,2024-25,Feyenoord,Justin Bijlow,NED,GK,26,1998,4.0,8,0,0,2,0,6.0,0.37,-2.0,-0.51,12,30,40.0,205,16,12.7,25.0,21,19.0,28.9,26,2,7.7,6,1.5,18.1
NED-Eredivisie,2024-25,Feyenoord,Plamen Andreev,BUL,GK,19,2004,1.0,2,1,0,1,0,1.4,0.2,-0.6,-0.55,5,11,45.5,36,3,27.8,29.0,2,50.0,40.5,6,1,16.7,6,6.0,28.5
NED-Eredivisie,2024-25,Feyenoord,Timon Wellenreuther,GER,GK,28,1995,29.0,28,1,0,3,0,32.0,0.31,4.0,0.14,129,321,40.2,1128,129,24.9,30.7,96,41.7,38.5,286,17,5.9,77,2.66,17.8
NED-Eredivisie,2024-25,Fortuna Sittard,Luuk Koopmans,NED,GK,30,1993,6.0,15,1,1,2,0,13.2,0.34,-1.8,-0.3,48,141,34.0,130,12,72.3,48.9,54,87.0,60.9,103,4,3.9,0,0.0,9.6
NED-Eredivisie,2024-25,Fortuna Sittard,Mattijs Branderhorst,NED,GK,30,1993,28.0,39,2,1,6,0,40.2,0.3,1.2,0.04,149,499,29.9,606,129,58.7,44.0,215,66.5,47.7,439,55,12.5,24,0.86,11.8
NED-Eredivisie,2024-25,Go Ahead Eag,Jari De Busser,BEL,GK,24,1999,16.0,23,1,0,3,1,21.0,0.23,-1.0,-0.06,68,234,29.1,662,83,29.2,31.9,85,48.2,44.0,311,15,4.8,19,1.19,13.3
NED-Eredivisie,2024-25,Go Ahead Eag,Luca Plogmann,GER,GK,24,2000,18.0,32,3,0,3,0,25.5,0.29,-6.5,-0.36,55,199,27.6,640,71,26.4,30.8,89,33.7,34.8,312,12,3.8,13,0.72,11.5
NED-Eredivisie,2024-25,Groningen,Etienne Vaessen,SUR,GK,29,1995,32.0,50,5,0,3,2,50.4,0.33,2.4,0.07,240,717,33.5,1073,103,51.9,40.6,196,81.6,58.8,448,41,9.2,41,1.28,13.6
NED-Eredivisie,2024-25,Groningen,Hidde Jurjus,NED,GK,30,1994,2.0,3,0,0,0,0,2.2,0.31,-0.8,-0.4,14,39,35.9,73,4,41.1,34.4,13,69.2,51.9,18,0,0.0,7,3.5,23.6
NED-Eredivisie,2024-25,Heerenveen,Andries Noppert,NED,GK,30,1994,15.2,24,1,0,2,1,24.3,0.36,1.3,0.09,65,227,28.6,539,58,31.2,31.3,92,64.1,48.2,192,13,6.8,24,1.58,15.3
NED-Eredivisie,2024-25,Heerenveen,Mickey van der Hart,NED,GK,30,1994,18.8,33,3,0,8,1,37.0,0.34,5.0,0.27,82,255,32.2,794,78,29.1,30.3,58,41.4,38.5,214,11,5.1,30,1.59,16.3
NED-Eredivisie,2024-25,Heracles Almelo,Fabian de Keijzer,NED,GK,24,2000,34.0,63,6,1,8,4,58.1,0.29,-0.9,-0.03,264,710,37.2,1050,83,52.2,41.6,250,64.8,52.8,508,12,2.4,23,0.68,13.2
NED-Eredivisie,2024-25,NAC Breda,Daniel Bielica,POL,GK,25,1999,32.0,52,6,0,6,1,52.2,0.29,1.2,0.04,182,406,44.8,874,145,31.2,32.3,263,50.6,40.7,513,23,4.5,26,0.81,13.6
NED-Eredivisie,2024-25,NAC Breda,Kostas Lamprou,GRE,GK,32,1991,1.0,3,0,0,0,0,2.3,0.46,-0.7,-0.69,8,20,40.0,53,4,32.1,34.8,3,100.0,67.0,16,0,0.0,1,1.0,11.8
NED-Eredivisie,2024-25,NAC Breda,Roy Kortsmit,NED,GK,31,1992,1.0,3,1,0,0,0,2.9,0.53,-0.1,-0.12,12,25,48.0,27,1,85.2,55.4,3,66.7,54.0,12,2,16.7,2,2.0,13.2
NED-Eredivisie,2024-25,NEC Nijmegen,Robin Roefs,NED,GK,21,2003,32.0,42,1,3,7,4,47.7,0.32,9.7,0.3,169,562,30.1,1072,137,41.1,36.4,202,59.9,48.8,465,52,11.2,45,1.41,13.9
NED-Eredivisie,2024-25,NEC Nijmegen,Stijn van Gassel,NED,GK,27,1996,2.0,4,1,0,0,0,4.5,0.25,0.5,0.27,4,36,11.1,60,17,36.7,35.9,22,63.6,50.9,51,2,3.9,3,1.5,12.6
NED-Eredivisie,2024-25,PSV Eindhoven,Joel Drommel,NED,GK,27,1996,0.5,0,0,0,0,0,0.0,,0.0,0.0,5,11,45.5,21,1,42.9,38.3,5,40.0,43.8,6,0,0.0,0,0.0,
NED-Eredivisie,2024-25,PSV Eindhoven,Walter Benítez,ARG,GK,31,1993,33.5,39,2,1,4,0,36.4,0.35,-2.6,-0.08,136,287,47.4,1158,126,20.5,27.3,140,35.7,35.1,303,20,6.6,49,1.46,16.2
NED-Eredivisie,2024-25,RKC Waalwijk,Jeroen Houwen,NED,GK,28,1996,24.0,48,2,0,6,2,45.4,0.33,-0.6,-0.03,178,433,41.1,735,95,44.4,37.3,191,56.0,45.4,380,17,4.5,21,0.88,12.1
NED-Eredivisie,2024-25,RKC Waalwijk,Joey Kesting,NED,GK,23,2001,3.0,5,3,0,0,0,5.1,0.21,0.1,0.04,25,53,47.2,86,7,48.8,38.0,17,64.7,47.2,51,0,0.0,2,0.67,10.8
NED-Eredivisie,2024-25,RKC Waalwijk,Mark Spenkelink,NED,GK,27,1997,4.0,12,2,0,1,0,10.0,0.35,-2.0,-0.49,22,66,33.3,155,10,37.4,33.4,14,57.1,47.1,59,1,1.7,1,0.25,10.6
NED-Eredivisie,2024-25,RKC Waalwijk,Yanick van Osch,NED,GK,27,1997,3.0,9,1,1,3,0,9.9,0.36,0.9,0.31,26,65,40.0,103,11,37.9,35.8,35,74.3,54.5,83,3,3.6,2,0.67,11.2
NED-Eredivisie,2024-25,Sparta R'dam,Nick Olij,NED,GK,28,1995,34.0,43,4,0,6,2,44.8,0.28,3.8,0.11,243,539,45.1,1341,143,33.6,33.1,154,57.8,46.8,568,46,8.1,24,0.71,12.1
NED-Eredivisie,2024-25,Twente,Lars Unnerstall,GER,GK,34,1990,31.0,39,2,0,3,0,35.8,0.35,-3.2,-0.1,109,332,32.8,892,147,31.1,31.1,173,31.8,33.1,403,23,5.7,36,1.16,13.2
NED-Eredivisie,2024-25,Twente,Przemysław Tytoń,POL,GK,37,1987,3.0,10,0,0,1,0,7.8,0.41,-2.2,-0.74,16,34,47.1,100,15,28.0,29.3,18,33.3,32.1,34,1,2.9,6,2.0,15.6
NED-Eredivisie,2024-25,Utrecht,Michael Brouwer,NED,GK,31,1993,3.0,1,1,0,0,0,3.3,0.26,2.3,0.76,17,58,29.3,82,11,50.0,40.1,24,70.8,54.0,64,0,0.0,4,1.33,15.3
NED-Eredivisie,2024-25,Utrecht,Vasilios Barkas,GRE,GK,30,1994,31.0,44,3,0,5,1,42.3,0.29,-0.7,-0.02,156,417,37.4,883,117,33.6,33.2,192,62.5,47.1,410,30,7.3,28,0.9,12.4
NED-Eredivisie,2024-25,Willem II,Thomas Didillon,FRA,GK,28,1995,34.0,56,6,0,6,3,60.7,0.31,7.7,0.23,239,621,38.5,905,128,47.3,37.9,278,69.4,50.8,620,36,5.8,11,0.32,9.4
NED-Eredivisie,2024-25,Zwolle,Jasper Schendelaar,NED,GK,23,2000,30.0,45,3,0,8,1,49.5,0.33,5.5,0.18,152,526,28.9,991,160,40.7,35.7,186,66.1,53.0,470,38,8.1,23,0.77,12.1
NED-Eredivisie,2024-25,Zwolle,Mike Hauptmeijer,NED,GK,27,1997,4.0,6,0,0,0,0,5.2,0.33,-0.8,-0.2,24,67,35.8,112,21,38.4,32.1,33,72.7,47.7,80,7,8.8,1,0.25,9.3
POR-Primeira Liga,2024-25,AVS Futebol,Guillermo Ochoa,MEX,GK,39,1985,23.0,45,1,1,7,1,39.4,0.33,-4.6,-0.2,128,293,43.7,486,90,40.1,35.6,219,44.7,38.4,378,8,2.1,16,0.7,14.0
POR-Primeira Liga,2024-25,AVS Futebol,Simão Bertelli,BRA,GK,31,1993,11.0,15,2,0,1,0,21.1,0.34,6.1,0.55,60,154,39.0,295,45,36.3,35.0,82,57.3,45.0,150,8,5.3,8,0.73,13.8
POR-Primeira Liga,2024-25,Arouca,João Valido,POR,GK,24,2000,5.0,6,1,0,1,0,5.5,0.24,-0.5,-0.1,17,32,53.1,105,22,20.0,27.6,50,22.0,27.0,70,9,12.9,8,1.6,14.0
POR-Primeira Liga,2024-25,Arouca,Nico Mantl,GER,GK,24,2000,29.0,43,8,1,8,2,40.6,0.29,-0.4,-0.01,115,284,40.5,746,127,26.3,29.0,202,43.6,37.2,445,22,4.9,42,1.45,15.1
POR-Primeira Liga,2024-25,Benfica,Anatolii Trubin,UKR,GK,22,2001,32.0,28,2,1,2,0,33.5,0.31,5.5,0.17,73,196,37.2,696,137,19.0,27.3,163,39.3,38.4,287,22,7.7,18,0.56,12.2
POR-Primeira Liga,2024-25,Benfica,Samuel Soares,POR,GK,22,2002,2.0,0,0,0,0,0,1.0,0.04,1.0,0.51,2,6,33.3,28,11,7.1,24.1,10,40.0,37.7,13,2,15.4,1,0.5,11.9
POR-Primeira Liga,2024-25,Boavista,César,BRA,GK,32,1992,16.0,30,3,0,3,2,28.6,0.34,0.6,0.04,75,219,34.2,251,60,54.6,41.2,125,65.6,46.2,213,18,8.5,10,0.63,12.7
POR-Primeira Liga,2024-25,Boavista,João Gonçalves,POR,GK,23,2000,4.0,2,0,0,0,0,3.3,0.41,1.3,0.33,31,88,35.2,74,3,70.3,48.7,36,100.0,64.3,59,1,1.7,1,0.25,14.0
POR-Primeira Liga,2024-25,Boavista,Tomáš Vaclík,CZE,GK,35,1989,12.0,22,3,0,3,1,22.9,0.28,1.9,0.16,75,195,38.5,247,65,47.8,38.4,120,64.2,47.4,202,11,5.4,12,1.0,14.0
POR-Primeira Liga,2024-25,Boavista,Tomé,POR,GK,17,2006,2.0,5,0,0,0,0,2.3,0.24,-2.7,-1.36,13,44,29.5,21,0,85.7,55.2,26,100.0,62.1,33,0,0.0,2,1.0,14.0
POR-Primeira Liga,2024-25,Braga,Lukáš Horníček,CZE,GK,22,2002,17.0,11,1,1,1,0,13.4,0.22,2.4,0.14,62,209,29.7,538,91,29.9,31.6,92,52.2,43.4,202,16,7.9,34,2.0,17.3
POR-Primeira Liga,2024-25,Braga,Matheus,BRA,GK,32,1992,17.0,19,2,0,2,1,17.6,0.24,-0.4,-0.02,42,167,25.1,478,72,28.5,31.9,106,29.2,31.6,183,9,4.9,25,1.47,17.4
POR-Primeira Liga,2024-25,Casa Pia,Daniel Azevedo,POR,GK,26,1998,1.0,2,0,0,0,0,2.1,0.68,0.1,0.12,1,10,10.0,19,1,26.3,32.7,9,55.6,47.0,20,1,5.0,1,1.0,8.3
POR-Primeira Liga,2024-25,Casa Pia,Patrick Sequeira,CRC,GK,25,1999,32.0,41,6,0,3,1,42.5,0.25,2.5,0.08,118,442,26.7,919,160,35.4,33.6,190,61.6,46.7,472,37,7.8,24,0.75,11.7
POR-Primeira Liga,2024-25,Casa Pia,Ricardo Batista,POR,GK,37,1986,1.0,1,1,0,0,0,0.8,0.02,-0.2,-0.23,1,2,50.0,31,3,6.5,24.7,3,0.0,18.7,10,0,0.0,2,2.0,14.7
POR-Primeira Liga,2024-25,Estoril,Daniel Figueira,POR,GK,26,1998,1.0,4,1,0,0,0,2.4,0.23,-1.6,-1.55,2,6,33.3,19,6,21.1,27.2,5,40.0,26.6,16,1,6.3,0,0.0,9.4
POR-Primeira Liga,2024-25,Estoril,Joel Robles,ESP,GK,34,1990,29.0,46,5,0,3,0,50.0,0.35,4.0,0.14,159,513,31.0,659,111,53.0,40.5,222,73.9,52.8,405,17,4.2,43,1.48,14.7
POR-Primeira Liga,2024-25,Estoril,Kevin Chamorro,CRC,GK,24,2000,4.0,3,1,0,0,0,3.7,0.26,0.7,0.17,12,57,21.1,81,11,44.4,37.1,22,95.5,67.9,46,4,8.7,13,3.25,18.1
POR-Primeira Liga,2024-25,Estrela,Bruno Brigido,BRA,GK,33,1991,17.5,30,2,1,6,1,27.3,0.33,-1.7,-0.09,66,243,27.2,425,90,36.9,36.3,132,65.2,51.0,257,9,3.5,15,0.86,13.3
POR-Primeira Liga,2024-25,Estrela,Francisco Meixedo,POR,GK,23,2001,0.5,0,0,0,0,0,0.2,0.07,0.2,0.41,4,9,44.4,14,4,35.7,35.6,7,57.1,44.4,6,0,0.0,0,0.0,9.0
POR-Primeira Liga,2024-25,Estrela,João Paulo Santos Costa,POR,GK,28,1996,14.0,17,3,0,2,0,19.0,0.3,2.0,0.14,94,244,38.5,312,37,50.0,38.4,120,73.3,53.0,181,2,1.1,14,1.0,15.5
POR-Primeira Liga,2024-25,Estrela,Marko Gudžulić,SRB,GK,22,2002,2.0,3,0,0,1,1,2.5,0.19,0.5,0.27,15,48,31.3,54,7,55.6,44.3,19,94.7,61.3,37,4,10.8,1,0.5,9.7
POR-Primeira Liga,2024-25,Famalicão,Ivan Zlobin,RUS,GK,27,1997,15.0,18,1,0,2,0,23.0,0.35,5.0,0.33,48,158,30.4,353,61,30.3,31.1,92,55.4,43.3,212,16,7.5,7,0.47,10.6
POR-Primeira Liga,2024-25,Famalicão,Lazar Carević,MNE,GK,25,1999,18.0,21,3,0,1,1,23.7,0.28,3.7,0.21,71,183,38.8,430,71,31.4,32.6,97,49.5,39.5,247,6,2.4,18,1.0,14.6
POR-Primeira Liga,2024-25,Famalicão,Luiz Lúcio Reis Júnior,BRA,GK,23,2001,1.0,0,0,0,0,0,0.3,0.17,0.3,0.35,11,24,45.8,32,7,59.4,44.6,6,83.3,57.8,17,3,17.6,2,2.0,10.7
POR-Primeira Liga,2024-25,Farense,Kaique,BRA,GK,21,2003,6.0,6,0,1,1,0,7.1,0.35,1.1,0.18,31,104,29.8,170,33,40.6,37.3,53,66.0,51.9,115,5,4.3,1,0.17,11.0
POR-Primeira Liga,2024-25,Farense,Ricardo Velho,POR,GK,25,1998,28.0,40,6,0,2,2,40.1,0.29,2.1,0.08,155,463,33.5,636,109,45.4,40.4,254,68.5,52.0,453,31,6.8,24,0.86,11.9
POR-Primeira Liga,2024-25,Gil Vicente FC,Andrew,BRA,GK,23,2001,33.0,46,6,1,11,1,42.9,0.32,-2.1,-0.06,129,357,36.1,969,158,25.1,31.5,278,41.0,39.5,488,36,7.4,34,1.03,13.5
POR-Primeira Liga,2024-25,Gil Vicente FC,Brian Araújo,FRA,GK,24,2000,1.0,1,0,0,1,0,1.0,0.35,0.0,0.04,5,9,55.6,28,3,32.1,34.1,3,0.0,22.7,14,0,0.0,2,2.0,17.7
POR-Primeira Liga,2024-25,Moreirense,Caio Secco,BRA,GK,33,1990,5.0,8,2,0,0,0,7.4,0.26,-0.6,-0.12,12,66,18.2,113,21,42.5,37.9,40,45.0,39.4,92,5,5.4,11,2.22,18.0
POR-Primeira Liga,2024-25,Moreirense,Kewin,BRA,GK,28,1995,29.0,42,3,1,6,0,39.3,0.33,-2.7,-0.09,154,440,35.0,789,126,38.7,35.0,229,59.0,43.8,472,36,7.6,19,0.66,10.6
POR-Primeira Liga,2024-25,Moreirense,Mika,POR,GK,33,1991,0.0,0,0,0,0,0,0.0,,0.0,0.0,0,0,,2,0,0.0,26.5,0,,,0,0,,0,0.0,13.0
POR-Primeira Liga,2024-25,Nacional,Lucas França,BRA,GK,28,1996,32.5,46,7,0,8,0,48.9,0.29,2.9,0.09,167,482,34.6,663,108,41.5,36.8,308,67.2,48.0,509,33,6.5,24,0.74,11.4
POR-Primeira Liga,2024-25,Nacional,Rui Encarnação,POR,GK,26,1998,1.5,4,2,0,0,0,2.8,0.17,-1.2,-0.78,5,14,35.7,30,2,26.7,31.6,7,85.7,52.4,19,0,0.0,2,1.33,15.7
POR-Primeira Liga,2024-25,Porto,Cláudio Ramos,POR,GK,32,1991,2.0,3,1,0,0,0,3.3,0.3,0.3,0.14,4,10,40.0,44,6,18.2,24.7,7,28.6,32.7,14,2,14.3,2,1.0,15.1
POR-Primeira Liga,2024-25,Porto,Diogo Costa,POR,GK,24,1999,32.0,27,5,1,4,1,29.2,0.28,3.2,0.1,132,305,43.3,1072,139,23.3,29.2,146,37.7,37.1,310,19,6.1,51,1.59,18.5
POR-Primeira Liga,2024-25,Rio Ave,Cezary Miszta,POL,GK,22,2001,25.8,42,3,0,5,5,40.8,0.31,3.8,0.15,105,349,30.1,696,124,34.3,33.9,225,48.9,43.5,406,19,4.7,24,0.93,13.2
POR-Primeira Liga,2024-25,Rio Ave,Jhonatan,BRA,GK,33,1991,8.0,13,0,0,0,0,12.3,0.29,-0.7,-0.09,30,102,29.4,231,40,26.4,32.3,78,52.6,42.2,126,3,2.4,5,0.63,12.0
POR-Primeira Liga,2024-25,Rio Ave,Matheus Teixeira,BRA,GK,25,1999,0.2,0,0,0,0,0,0.0,,0.0,0.0,0,3,0.0,8,0,12.5,26.8,2,100.0,67.0,1,0,0.0,0,0.0,8.0
POR-Primeira Liga,2024-25,Santa Clara,Gabriel Batista,BRA,GK,26,1998,34.0,32,4,1,5,0,29.1,0.22,-2.9,-0.09,164,518,31.7,738,118,47.4,39.6,283,59.4,48.1,453,39,8.6,27,0.79,12.5
POR-Primeira Liga,2024-25,Sporting CP,Franco Israel,URU,GK,24,2000,11.0,9,0,1,0,0,7.0,0.3,-2.0,-0.18,13,33,39.4,214,45,10.3,23.3,50,22.0,27.4,99,2,2.0,4,0.36,11.3
POR-Primeira Liga,2024-25,Sporting CP,Rui Silva,POR,GK,30,1994,17.0,13,4,0,1,2,13.5,0.31,2.5,0.15,44,121,36.4,294,51,26.9,30.1,91,46.2,39.5,185,12,6.5,28,1.65,19.4
POR-Primeira Liga,2024-25,Sporting CP,Vladan Kovačević,BIH,GK,26,1998,6.0,5,0,0,0,0,3.7,0.23,-1.3,-0.21,6,16,37.5,98,20,13.3,22.6,14,21.4,28.5,52,3,5.8,4,0.67,14.5
POR-Primeira Liga,2024-25,Vitória,Bruno Varela,CPV,GK,29,1994,34.0,37,5,0,5,0,32.9,0.3,-4.1,-0.12,115,311,37.0,875,120,24.1,30.6,235,42.6,38.5,389,21,5.4,35,1.03,14.8
